Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
College Student	21	Equally	1	1	0	1	0	1	0	1	Illinois	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	4	Win95	English	Primarily work	White	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Already paying	1-3 yr	id96096
Other	42	Dont Know	0	0	1	0	0	0	0	0	New Jersey	0	0	0	1	0	0	Some College	Never	Male	$30-39	0	0	0	0	0	0	0	1	0	USA	Professional	Single	Censorship	1	Windows	English	Home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	Bisexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id93607
College Student	21	Equally	0	0	1	0	0	0	0	0	Pennsylvania	1	0	0	0	0	0	Some College	Under 25	Female	$40-49	0	0	0	0	0	0	1	0	1	USA	Education	Single	Taxes	1	Windows	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Already paying	1-3 yr	id97596
Counselor	28	More	1	0	0	0	0	1	1	0	Utah	0	0	0	1	0	0	Some College	NA	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Dont Know	1	OS2	English	School	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	1	0	0	Other sources	Under 6 mo	id91336
Other	23	More	0	1	0	0	0	1	0	0	Colorado	0	0	0	1	0	0	Some College	Under 25	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Computer	Married	Navigation	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	4-6 yr	id93737
K-12 Student	17	Equally	0	1	0	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	High School	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Single	Other	2	Win95	English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	No	Heterosexual	No	No	0	0	1	0	0	0	Cost too high	Under 6 mo	id96321
Other	47	Equally	1	0	0	1	0	0	0	0	Wisconsin	0	0	0	1	0	0	College	NA	Male	$30-39	0	0	0	0	0	0	0	1	0	USA	Other	Divorced	Navigation	3	Win95	English	Home	White	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	6-12 mo	id99751
Other	43	Equally	0	0	1	0	0	0	0	0	Nevada	0	0	0	1	0	0	Some College	Under 25	Male	Not Say	0	1	0	0	0	0	0	0	0	USA	Computer	Single	Privacy	1	Unix	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	0	1	Poor quality	Over 7 yr	id79509
College Student	20	Dont Know	1	0	0	0	0	1	1	0	Michigan	0	0	0	0	0	1	Some College	Under 25	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Single	Language	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Cost too high	1-3 yr	id97192
Salesperson	44	Less	0	0	0	1	0	1	0	0	Illinois	0	0	0	1	0	0	College	51-75	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Censorship	1	Win95	English	Primarily work	White	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	1	0	0	1	1	Other sources	4-6 yr	id99211
Programmer	38	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	Under 25	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	4		English	Primarily home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other	4-6 yr	id98182
College Student	26	More	0	1	0	1	0	1	0	0	Texas	0	0	0	1	0	0	College	Never	Male	$10-19	0	0	0	0	0	0	0	1	0	USA	Education	Single	Other	1	Macintosh	English	Primarily home	White	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id95740
CEO	49	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	Never	Male	Over $100	0	0	0	1	0	0	0	0	0	USA	Management	Single	Taxes	4	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	Yes	Bisexual	No	No	0	0	0	0	1	1	Other sources	4-6 yr	id98178
Other	38	More	0	0	0	0	0	1	0	0	Alberta	0	0	0	1	0	0	College	Under 25	Male	$20-29	0	0	1	0	0	0	0	0	0	Canada	Computer	Married	Privacy	1	Win95	English	Work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id60321
IS	50	More	1	1	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	Masters	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	1	Macintosh	English	Primarily home	White	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id94363
Other	49	More	0	0	0	0	0	1	0	1	Australia	0	0	0	1	0	0	Special	Never	Female	$50-74	0	1	0	0	0	0	0	0	0	Oceania	Computer	Other	Privacy	3	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Lesbian	Yes	Yes	0	0	0	0	0	1	Already paying	4-6 yr	id99060
Programmer	37	Dont Know	0	0	1	0	0	0	0	0	New York	0	0	0	1	0	0	College	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	3	NT	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	Yes	Yes	0	1	0	0	0	0	Poor quality	4-6 yr	id99225
Other	22	Equally	0	0	0	0	0	1	0	1	United Kingdom	0	0	0	1	0	0	College	Never	Male	$20-29	0	0	1	0	0	0	0	0	0	Europe	Computer	Single	Other	4	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Dont trust	Under 6 mo	id95624
Homemaker	5	Dont Know	1	0	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	Some College	NA	Female	Under $10	0	0	0	0	0	0	0	0	1	USA	Other	Separated	Navigation	4		English	Home	White	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id99754
Nurse	34	More	0	0	0	0	0	1	0	0	Kentucky	0	0	0	1	0	0	Masters	Over 75	Female	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Navigation	1	Win95	american	Primarily work	Other	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Already paying	1-3 yr	id90297
Administrator/Secretary	42	More	0	1	0	0	0	0	0	0	Texas	0	0	0	1	0	0	High School	Never	Female	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Separated	Privacy	1		English	Primarily home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Payment mechanism	4-6 yr	id90301
Physician	57	More	1	0	0	0	0	1	0	1	Washington D.C.	0	0	0	1	0	0	Professional	Not Say	Male	$40-49	0	0	0	0	0	0	1	0	0	USA	Professional	Divorced	Privacy	4	Windows	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Not Say	Transgender	No	No	0	0	0	0	1	0	Cost too high	6-12 mo	id99829
Programmer	27	More	0	1	0	0	0	0	0	0	Wyoming	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	0	0	1	0	0	0	USA	Computer	Married	Dont Know	2	Windows	English	Work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id76679
Programmer	30	More	0	1	0	0	0	0	0	0	Ontario	0	0	0	1	0	0	College	Under 25	Male	$30-39	0	0	0	0	0	0	0	0	1	Canada	Computer	Single	Censorship	1	Win95	English	Primarily home	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other	4-6 yr	id93469
Retired	68	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Masters	26-50	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Navigation	3	Win95	English	Home	White	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id90307
College Student	23	More	1	0	0	0	1	1	0	1	South Dakota	0	0	0	1	0	0	Some College	Never	Male	$10-19	1	0	0	0	0	0	0	0	0	USA	Education	Single	Other	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Gay male	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id99740
CEO	41	More	0	0	0	1	0	0	0	0	Alberta	0	0	0	1	0	0	Special	Never	Female	$20-29	0	1	0	0	0	0	0	0	0	Canada	Management	Married	Other	1	Windows	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id90312
IS	25	Less	1	1	0	0	0	0	0	0	Missouri	0	0	0	1	0	0	Masters	Never	Male	$40-49	0	1	0	0	0	0	0	0	0	USA	Computer	Single	Censorship	1	Win95	English	Primarily home	White	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other	4-6 yr	id90313
Other	33	Equally	1	1	0	0	0	0	0	0	Arizona	0	0	0	1	0	0	High School	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	4		English	Primarily home	White	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Cost too high	6-12 mo	id90315
College Educator	43	Dont Know	0	0	1	0	0	0	0	0	Michigan	0	0	0	1	0	0	Doctoral	Never	Male	Not Say	0	1	0	0	0	0	0	0	0	USA	Education	Married	Privacy	4	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Poor quality	Over 7 yr	id66171
Other	45	More	1	1	0	1	0	0	0	0	Georgia	0	0	0	1	0	0	Some College	NA	Male	$50-74	0	0	0	1	0	0	0	0	1	USA	Professional	Divorced	Privacy	4		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id90935
Manager	18	Equally	0	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	High School	Never	Female	Over $100	0	0	0	1	0	0	0	0	1	USA	Management	Single	Navigation	3	Win95	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	No	Heterosexual	Yes	No	0	0	1	0	0	0	Already paying	1-3 yr	id91209
Other	25	More	0	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	Masters	Under 25	Male	$40-49	0	0	1	0	0	0	0	0	0	USA	Computer	Single	Navigation	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id94781
Broadcast/Media Professional	42	More	0	1	0	0	0	1	0	0	Connecticut	0	0	0	1	0	0	College	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Censorship	1		English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Poor quality	1-3 yr	id90320
Service Industry Occupation	52	Dont Know	0	0	0	0	0	1	0	0	New Hampshire	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	0	1	1	USA	Other	Married	Don't Know	3		English	Primarily work	White	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	6-12 mo	id90323
Other	34	Dont Know	0	0	0	0	0	1	0	0	Texas	0	1	0	0	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Navigation	3		English	Home	White	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	Not Applicable	Heterosexual	Yes	No	0	0	0	0	1	0	Don't trust	Under 6 mo	id90324
K-12 Student	15	More	0	0	1	0	0	0	0	0	Saskatchewan	0	0	0	1	0	0	Grammar	Over 75	Female	$75-99	0	0	0	0	0	0	1	0	0	Canada	Education	Single	Privacy	2	Win95	English	Primarily home	Other	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	Dont know	Yes	0	0	1	0	0	0	Payment mechanism	1-3 yr	id94585
Technician	53	Equally	0	0	1	0	0	0	0	0	South Carolina	0	0	0	1	0	0	Some College	Never	Male	$50-74	1	0	0	0	0	0	0	0	0	USA	Professional	Married	Navigation	1	Win95	English	Primarily home	White	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id98600
Homemaker	51	More	1	1	0	0	0	0	0	1	New York	0	0	0	1	0	0	High School	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Dont Know	4		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	No	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id99425
College Student	24	Dont Know	0	0	0	0	0	1	0	0	Ontario	0	1	0	0	0	0	College	Under 25	Male	Under $10	0	0	0	0	0	0	0	0	1	Canada	Education	Single	Other	2	Win95	English	Primarily home	White	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	1	1	0	Cost too high	1-3 yr	id90333
Engineer	49	Dont Know	0	0	1	0	0	0	0	0	Delaware	0	0	0	1	0	0	Doctoral	Never	Male	Over $100	0	0	0	0	0	0	0	1	0	USA	Professional	Married	Navigation	2	Macintosh	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id93816
Civil Servant	41	Dont Know	0	0	0	1	0	0	0	0	California	0	0	0	1	0	0	Some College	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Single	Encryption	1		English	Home	Asian	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id97034
K-12 Student	16	More	0	1	0	1	0	0	1	0	South Carolina	0	0	0	1	0	0	Grammar	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Taxes	1	Win95	English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id92791
College Student	26	More	0	1	0	0	0	0	1	0	Massachusetts	0	0	0	1	0	0	Some College	Under 25	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Other	Censorship	1	Macintosh	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	Yes	Heterosexual	Yes	Yes	0	1	0	0	0	0	Other sources	1-3 yr	id96710
Service Industry Occupation	34	Dont Know	0	1	0	1	0	0	0	0	Georgia	0	0	0	1	0	0	Special	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Navigation	1	Win95	English	Home	White	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id90338
CEO	41	Less	0	0	0	1	0	1	0	0	Virginia	0	0	0	1	0	0	Doctoral	Not Say	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Management	Married	Encryption	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	1	Poor quality	Over 7 yr	id90340
Homemaker	36	Dont Know	0	1	0	0	0	0	0	0	Tennessee	0	0	0	1	0	0	High School	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90345
Other	22	Equally	0	1	0	0	0	0	0	1	New York	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Computer	Widowed	Censorship	1		English	Primarily home	Black	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Gay male	Yes	No	0	0	0	0	1	1	Already paying	1-3 yr	id90346
Other	43	More	1	1	0	1	1	1	1	1	Tennessee	0	0	0	0	1	0	Some College	Never	Male	Under $10	0	0	0	1	0	0	0	0	0	USA	Computer	Married	Other	1	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Cost too high	4-6 yr	id81786
College Student	44	Equally	0	0	0	1	0	0	0	0	Colorado	0	0	0	1	0	0	College	Never	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Education	Divorced	Privacy	1	Win95	English	Primarily home	Other	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	Yes	Bisexual	Yes	No	0	0	0	1	0	0	Other sources	1-3 yr	id92227
K-12 Educator	45	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	Never	Female	$50-74	1	0	0	0	0	0	0	0	0	USA	Education	Married	Navigation	1		English	Home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90350
College Student	23	More	0	1	0	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	Some College	Over 75	Male	$40-49	0	1	0	0	0	0	0	0	0	USA	Education	Single	Censorship	4	Win95	English	Primarily home	White	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id90351
College Student	20	Equally	0	0	1	0	0	0	0	0	North Carolina	0	0	0	1	0	0	Some College	26-50	Male	Under $10	0	0	0	0	0	0	0	0	1	USA	Education	Single	Taxes	1	Win95	English	Primarily work	White	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	1	1	0	Other sources	1-3 yr	id90353
Other	54	More	0	1	0	0	0	0	0	0	Georgia	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	No	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90354
Other	31	More	0	1	0	0	0	1	0	0	Sweden	0	0	0	1	0	0	Masters	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	Europe	Professional	Married	Dont Know	1	NT	Swedish	Work	White	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Poor quality	6-12 mo	id90355
Programmer	56	More	0	0	0	0	0	0	0	1	Massachusetts	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	0	0	0	0	1	0	USA	Computer	Married	Censorship	4	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id62670
Programmer	18	More	1	1	0	0	0	1	0	0	Georgia	0	0	0	1	0	0	Some College	26-50	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Computer	Single	Taxes	3	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	1	0	0	0	Other sources	4-6 yr	id90357
Physician	42	Equally	0	0	1	0	0	0	0	0	Illinois	0	0	0	1	0	0	Professional	26-50	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Taxes	4	Macintosh	English	Home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Cost too high	1-3 yr	id90360
Physician	36	More	1	1	0	0	0	0	1	0	Minnesota	1	0	0	0	0	0	Professional	Never	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Other	1	Macintosh	English	Home	White	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other	1-3 yr	id90363
College Student	17	Equally	0	0	0	0	0	0	1	0	Ohio	0	0	0	1	0	0	Some College	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	No	Not say	Yes	Yes	0	1	0	0	0	0	Cost too high	1-3 yr	id91579
Other	35	More	0	1	0	0	0	0	0	0	Washington	0	0	0	1	0	0	Masters	Under 25	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Navigation	1	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Poor quality	Over 7 yr	id91760
Other	36	More	0	1	0	0	0	1	0	0	Afghanistan	0	0	0	1	0	0	Masters	NA	Female	Not Say	0	0	1	0	0	0	0	0	0	Asia	Computer	Married	Taxes	3	Win95	Russian	Work	Other	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	Not Applicable	Heterosexual	No	Yes	0	1	0	0	0	1	Other sources	4-6 yr	id94402
College Student	19	More	0	1	0	1	0	1	0	0	Australia	0	0	0	1	0	0	Some College	Under 25	Male	Not Say	0	0	0	0	1	0	0	0	0	Oceania	Education	Single	Taxes	3	Win95	English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id98201
Attorney/Judge	32	More	1	1	0	0	1	0	0	0	Illinois	0	0	0	1	0	0	Professional	Under 25	Male	$50-74	0	0	0	0	0	0	1	0	0	USA	Professional	Single	Encryption	1	Win95	English	Primarily work	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	4-6 yr	id96530
Civil Servant	22	Equally	0	0	1	0	0	0	0	0	Australia	0	0	0	1	0	0	College	Over 75	Male	$20-29	0	0	0	0	0	0	0	0	1	Oceania	Other	Single	Censorship	1	Windows	English	Work	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Already paying	4-6 yr	id94043
Homemaker	18	More	0	0	0	0	0	0	0	1	North Carolina	0	0	0	1	0	0	High School	Never	Female	$10-19	0	0	0	0	0	0	1	0	0	USA	Other	Married	Navigation	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	1-3 yr	id91100
Engineer	46	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Masters	Never	Male	Over $100	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Other	3	Macintosh	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id94208
Other	33	More	1	1	0	0	0	1	0	0	Oklahoma	0	0	0	1	0	0	Special	Never	Female	$30-39	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	3		English	Home	Other	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other	Under 6 mo	id95603
Engineer	46	Dont Know	0	0	0	0	0	0	0	1	Maryland	1	1	1	0	0	1	Masters	Under 25	Male	$75-99	0	0	1	0	0	0	0	0	0	USA	Professional	Married	Censorship	1	Windows	French	Primarily home	White	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Cost too high	4-6 yr	id96335
